Row,CovParm,CovP1,CovP2,CovP3,CovP4,CovP5,CovP6,CovP7,CovP8,CovP9,CovP10,CovP11,CovP12,CovP13,CovP14,CovP15,CovP16,CovP17,CovP18,CovP19,CovP20,CovP21,CovP22,CovP23,CovP24,CovP25,CovP26,CovP27,CovP28,CovP29,CovP30,CovP31,CovP32,CovP33,CovP34,CovP35,CovP36,CovP37,CovP38,CovP39,CovP40,CovP41,CovP42,CovP43,CovP44,CovP45,CovP46,CovP47,CovP48,CovP49,CovP50,CovP51,CovP52,CovP53,CovP54,CovP55,CovP56,CovP57,CovP58,CovP59,CovP60,CovP61,CovP62,CovP63
11,"UN(5,1)",0.000113,0.001370,0.000117,-0.00006,-0.00043,-0.00009,0.000326,-0.00021,-0.00009,-0.00010,0.001552,0.000163,-0.00041,-0.00023,0.000164,-0.00050,0.000290,0.000206,0.000161,0.000280,-0.00024,-0.00009,-0.00042,-0.00045,0.000261,0.000102,0.000077,-0.00006,-0.00001,-0.00003,7.836E-6,-0.00058,-0.00043,4.927E-6,0.000012,-0.00031,0.000134,0.000225,-0.00009,0.000014,0.000271,-0.00007,-0.00007,-0.00003,-3.89E-6,-6.52E-6,-0.00003,0.000022,4.972E-6,0.000039,-0.00002,3.094E-6,-0.00003,1.877E-6,-0.00004,0.000053,9.037E-6,1.566E-6,-0.00001,8.856E-6,-5.38E-6,-0.00002,8.311E-6
12,"UN(5,2)",0.000035,0.000137,0.004348,-0.00008,0.000264,0.000121,0.000010,0.000870,0.000124,0.000157,0.000163,0.003930,0.000273,0.000697,0.003335,-0.00004,-0.00153,-0.00014,-0.00030,-0.00134,0.000538,-0.00004,-0.00024,-0.00118,0.000149,0.000509,-0.00013,-0.00003,-0.00007,-0.00002,0.000018,-0.00032,-0.00132,0.000447,-0.00003,-0.00132,0.000063,0.000292,-0.00010,0.000012,0.000307,-0.00007,-0.00003,-0.00008,-0.00003,0.000013,0.000023,-0.00002,1.759E-6,7.354E-6,-1.37E-6,1.529E-6,-0.00007,-0.00004,0.000030,0.000013,-0.00005,8.525E-6,-7.9E-6,2.687E-6,-2.09E-7,-6.36E-6,1.302E-6
13,"UN(5,3)",2.03E-7,-0.00038,0.000668,0.000034,0.002028,-0.00020,-0.00010,0.000477,0.000565,0.000197,-0.00041,0.000273,0.002352,0.000382,-0.00025,0.000096,-0.00144,-0.00070,-0.00049,-0.00146,0.000954,-0.00003,-0.00007,0.000154,-0.00004,-0.00078,0.000965,0.000015,0.000139,-0.00019,0.000042,-0.00008,0.000376,-0.00125,0.000223,0.000776,0.000066,0.000334,-0.00005,0.000034,0.000450,-0.00016,5.602E-6,0.000035,0.000068,-0.00005,0.000025,-0.00003,-5.1E-6,-0.00002,-6.48E-6,1.122E-6,0.000049,0.000064,0.000040,-0.00002,0.000053,8.769E-6,-0.00003,-3.02E-6,7.504E-6,-0.00003,0.000014
14,"UN(5,4)",-0.00003,-0.00021,0.000624,8.634E-6,0.000406,0.000126,0.000016,0.001320,-0.00002,0.000617,-0.00023,0.000697,0.000382,0.001549,0.000821,0.000068,-0.00054,-0.00020,-0.00057,-0.00059,0.000338,0.000024,0.000063,0.000082,-8.29E-6,0.000086,-0.00016,-0.00006,-0.00056,0.000402,-0.00017,0.000061,-0.00003,0.000227,-0.00085,-0.00026,-0.00003,-0.00006,0.000020,0.000140,-0.00006,1.096E-6,6.825E-7,-1.77E-6,0.000036,8.318E-6,8.897E-6,-0.00002,-0.00005,8.161E-7,4.237E-7,-0.00002,-9.73E-6,0.000035,0.000015,-1.28E-6,0.000032,4.54E-6,-0.00002,5.79E-6,-8.62E-6,-0.00002,6.503E-6
15,"UN(5,5)",8.43E-6,0.000124,0.002908,-0.00005,-0.00014,0.000175,0.000030,0.000729,-0.00002,0.000171,0.000164,0.003335,-0.00025,0.000821,0.003874,-0.00005,-0.00106,0.000027,-0.00025,-0.00120,0.000378,3.622E-7,-0.00011,-0.00090,0.000104,0.000610,-0.00040,-0.00002,-0.00013,0.000086,-0.00001,-0.00018,-0.00132,0.000881,-0.00018,-0.00193,0.000035,0.000227,-0.00012,0.000024,0.000318,-0.00006,-0.00003,-0.00007,-0.00001,0.000023,3.583E-6,-5.09E-6,-6.77E-6,-0.00002,0.000010,-5.41E-6,-0.00009,-0.00002,3.843E-6,-0.00003,-0.00002,9.442E-6,-5.94E-6,5.79E-6,3.705E-6,-8.56E-6,1.409E-6
16,"UN(6,1)",0.000584,-0.00074,-1.88E-6,-0.00135,0.000196,0.000740,-0.00046,0.000136,0.000346,0.000132,-0.00050,-0.00004,0.000096,0.000068,-0.00005,0.001665,-0.00009,-0.00071,-0.00039,-0.00004,0.000597,0.000215,0.000191,0.000136,0.000289,0.000175,0.000062,-0.00009,-0.00005,-0.00003,0.000021,0.000139,0.000089,0.000087,-0.00002,0.000057,-0.00063,-0.00038,-0.00018,0.000040,-0.00020,0.000485,0.000032,-0.00002,-0.00002,-6.85E-6,-5.27E-6,0.000032,0.000037,9.396E-6,-0.00002,-0.00002,-4.94E-6,-0.00001,-5.07E-6,3.137E-6,-7.9E-6,-9.19E-6,0.000015,-0.00002,0.000045,0.000014,-0.00004
17,"UN(6,2)",-0.00011,0.000495,-0.00221,0.000138,-0.00218,-0.00069,0.000143,-0.00084,-0.00046,-0.00025,0.000290,-0.00153,-0.00144,-0.00054,-0.00106,-0.00009,0.002799,0.001009,0.000573,0.001896,-0.00159,0.000105,0.000223,0.000408,0.000108,0.000412,-0.00016,-0.00006,-0.00014,1.363E-6,0.000034,0.000172,0.000321,0.000313,-0.00010,0.000245,-0.00031,-0.00094,0.000055,0.000050,-0.00072,0.000392,0.000016,0.000019,-0.00009,3.292E-7,-0.00004,-0.00002,0.000018,0.000062,-0.00001,-0.00002,0.000018,-0.00004,-0.00002,0.000043,-0.00001,-0.00002,0.000015,0.000026,0.000011,-4.05E-6,-0.00002
18,"UN(6,3)",-0.00029,0.000360,-0.00041,0.000779,-0.00133,-0.00354,0.000312,-0.00039,-0.00095,-0.00034,0.000206,-0.00014,-0.00070,-0.00020,0.000027,-0.00071,0.001009,0.003420,0.000799,0.000354,-0.00288,0.000045,2.117E-6,-0.00003,0.000257,0.000167,0.001061,-0.00004,2.889E-6,-0.00023,0.000034,-0.00006,-0.00008,-0.00001,0.000046,-0.00011,-0.00021,0.000012,-0.00133,0.000237,0.000306,0.001011,-2.31E-6,-0.00002,-0.00002,-1.35E-6,-0.00007,-0.00013,-2.71E-6,-4.07E-6,0.000068,8.434E-6,-0.00002,-2.57E-6,-0.00002,-0.00002,-9.78E-7,0.000028,0.000063,0.000101,-0.00004,0.000030,-0.00008
19,"UN(6,4)",-0.00008,0.000218,-0.00035,0.000345,-0.00053,-0.00076,0.000259,-0.00072,-0.00124,-0.00066,0.000161,-0.00030,-0.00049,-0.00057,-0.00025,-0.00039,0.000573,0.000799,0.001599,0.000573,-0.00090,-0.00003,-0.00003,-0.00003,-0.00007,-0.00006,-0.00018,0.000153,0.000210,0.000429,-0.00021,8.549E-6,0.000011,0.000052,0.000155,0.000031,0.000095,0.000069,0.000207,-0.00086,-0.00013,-0.00013,1.075E-6,3.062E-6,4.763E-7,3.946E-7,-0.00001,-0.00001,0.000021,-0.00005,-0.00004,0.000104,2.755E-6,-3.66E-6,-0.00001,-0.00002,-3.31E-6,-0.00001,0.000026,0.000031,0.000013,0.000020,-0.00004
20,"UN(6,5)",-0.00001,0.000282,-0.00145,0.000030,-0.00131,0.000048,0.000088,-0.00061,-0.00038,-0.00022,0.000280,-0.00134,-0.00146,-0.00059,-0.00120,-0.00004,0.001896,0.000354,0.000573,0.002079,-0.00116,0.000041,0.000149,0.000295,-0.00004,0.000246,-0.00045,-0.00001,-0.00008,0.000100,-0.00003,0.000203,0.000330,0.000418,-0.00012,0.000337,-0.00012,-0.00071,0.000364,-0.00009,-0.00101,0.000317,0.000014,0.000017,-0.00006,9.302E-6,-0.00001,0.000020,0.000019,0.000044,-0.00001,6.532E-6,0.000023,-0.00005,-0.00003,0.000058,-0.00002,-0.00004,0.000014,7.002E-7,-0.00002,0.000014,-0.00001
