RandRep,Treat,Gen,CovParm,Subject,Estimate
876,1,2,"UN(6,6)",Anim(Trea*Line*Vial),0.7788
876,1,3,"UN(1,1)",Line,0.2240
876,1,3,"UN(2,1)",Line,0.002144
876,1,3,"UN(2,2)",Line,0.008019
876,1,3,"UN(3,1)",Line,-0.03021
876,1,3,"UN(3,2)",Line,0.01349
876,1,3,"UN(3,3)",Line,0.1861
876,1,3,"UN(4,1)",Line,-0.1023
876,1,3,"UN(4,2)",Line,0.01321
876,1,3,"UN(4,3)",Line,-0.02308
876,1,3,"UN(4,4)",Line,0.05912
876,1,3,"UN(5,1)",Line,0.03973
876,1,3,"UN(5,2)",Line,-0.00675
876,1,3,"UN(5,3)",Line,-0.05852
876,1,3,"UN(5,4)",Line,-0.01169
876,1,3,"UN(5,5)",Line,0.01091
876,1,3,"UN(6,1)",Line,0.05119
876,1,3,"UN(6,2)",Line,0.007152
876,1,3,"UN(6,3)",Line,-0.1094
876,1,3,"UN(6,4)",Line,-0.01194
876,1,3,"UN(6,5)",Line,0.06208
876,1,3,"UN(6,6)",Line,0.04267
876,1,3,"UN(1,1)",Vial(Treat*Line),0.06979
876,1,3,"UN(2,1)",Vial(Treat*Line),0.05742
876,1,3,"UN(2,2)",Vial(Treat*Line),0.01576
876,1,3,"UN(3,1)",Vial(Treat*Line),0.01982
876,1,3,"UN(3,2)",Vial(Treat*Line),0.002680
876,1,3,"UN(3,3)",Vial(Treat*Line),0.003706
876,1,3,"UN(4,1)",Vial(Treat*Line),0.02448
876,1,3,"UN(4,2)",Vial(Treat*Line),-0.04251
876,1,3,"UN(4,3)",Vial(Treat*Line),0.05687
876,1,3,"UN(4,4)",Vial(Treat*Line),0.06049
876,1,3,"UN(5,1)",Vial(Treat*Line),0.07017
876,1,3,"UN(5,2)",Vial(Treat*Line),0.03724
876,1,3,"UN(5,3)",Vial(Treat*Line),0.008211
876,1,3,"UN(5,4)",Vial(Treat*Line),-0.01373
876,1,3,"UN(5,5)",Vial(Treat*Line),0.1061
876,1,3,"UN(6,1)",Vial(Treat*Line),-0.07693
876,1,3,"UN(6,2)",Vial(Treat*Line),-0.06806
876,1,3,"UN(6,3)",Vial(Treat*Line),-0.00920
876,1,3,"UN(6,4)",Vial(Treat*Line),0.03675
876,1,3,"UN(6,5)",Vial(Treat*Line),-0.04992
876,1,3,"UN(6,6)",Vial(Treat*Line),0.04593
876,1,3,"UN(1,1)",Anim(Trea*Line*Vial),0.5024
876,1,3,"UN(2,1)",Anim(Trea*Line*Vial),0.1007
876,1,3,"UN(2,2)",Anim(Trea*Line*Vial),0.8397
876,1,3,"UN(3,1)",Anim(Trea*Line*Vial),0.01522
876,1,3,"UN(3,2)",Anim(Trea*Line*Vial),0.05364
876,1,3,"UN(3,3)",Anim(Trea*Line*Vial),0.7147
876,1,3,"UN(4,1)",Anim(Trea*Line*Vial),0.03207
